FALL	KONSTRUKTION1	KONSTRUKTION2	V_CHANGPOSS	AGENT_ACT	REC_ACT	PAT_ACT
1	1	prep_dativ	nein	0	0	0
2	0	ditransitiv	nein	0	9	0
3	1	prep_dativ	nein	9	0	0
4	0	ditransitiv	nein	0	9	0
5	0	ditransitiv	ja	4	9	0
6	1	prep_dativ	nein	0	0	0
7	1	prep_dativ	nein	9	0	0
8	0	ditransitiv	nein	0	9	0
9	0	ditransitiv	ja	9	7	0
10	0	ditransitiv	nein	8	8	0
11	0	ditransitiv	nein	0	7	0
12	0	ditransitiv	nein	0	0	0
13	1	prep_dativ	nein	0	0	0
14	1	prep_dativ	nein	9	0	0
15	0	ditransitiv	nein	0	0	0
16	1	prep_dativ	nein	9	0	9
17	1	prep_dativ	nein	0	0	0
18	1	prep_dativ	nein	9	0	0
19	1	prep_dativ	nein	9	7	0
20	0	ditransitiv	nein	9	8	0
21	0	ditransitiv	nein	0	0	0
22	0	ditransitiv	nein	0	9	0
23	1	prep_dativ	nein	7	0	0
24	1	prep_dativ	nein	6	0	0
25	1	prep_dativ	nein	4	2	0
26	1	prep_dativ	nein	8	0	0
27	0	ditransitiv	nein	8	0	0
28	1	prep_dativ	nein	0	0	0
29	1	prep_dativ	nein	4	0	0
30	1	prep_dativ	nein	0	9	0
31	1	prep_dativ	nein	0	7	0
32	0	ditransitiv	nein	7	9	0
33	1	prep_dativ	nein	9	0	0
34	0	ditransitiv	nein	0	8	0
35	0	ditransitiv	ja	9	0	0
36	0	ditransitiv	ja	9	8	8
37	1	prep_dativ	NA	9	4	0
38	1	prep_dativ	nein	8	8	0
39	1	prep_dativ	nein	9	7	0
40	1	prep_dativ	nein	9	0	9
41	0	ditransitiv	nein	9	8	0
42	1	prep_dativ	nein	0	6	0
43	1	prep_dativ	nein	0	7	0
44	1	prep_dativ	nein	9	0	0
45	0	ditransitiv	nein	9	3	0
46	1	prep_dativ	nein	7	0	0
47	0	ditransitiv	nein	8	9	0
48	1	prep_dativ	nein	9	6	6
49	0	ditransitiv	ja	9	7	0
50	1	prep_dativ	nein	0	0	0
51	0	ditransitiv	nein	0	8	0
52	1	prep_dativ	nein	0	0	0
53	0	ditransitiv	nein	0	0	0
54	1	prep_dativ	nein	8	0	0
55	0	ditransitiv	nein	0	0	0
56	1	prep_dativ	nein	5	0	0
57	0	ditransitiv	nein	7	8	0
58	1	prep_dativ	nein	9	0	0
59	1	prep_dativ	nein	9	0	0
60	0	ditransitiv	nein	9	6	0
61	0	ditransitiv	nein	2	0	0
62	0	ditransitiv	nein	2	8	0
63	0	ditransitiv	ja	0	9	0
64	0	ditransitiv	nein	8	8	0
65	0	ditransitiv	nein	9	9	0
66	1	prep_dativ	nein	9	0	0
67	1	prep_dativ	nein	0	0	0
68	1	prep_dativ	ja	8	0	7
69	1	prep_dativ	nein	9	0	0
70	1	prep_dativ	nein	9	0	0
71	1	prep_dativ	nein	9	8	0
72	1	prep_dativ	nein	9	0	0
73	0	ditransitiv	nein	0	9	0
74	0	ditransitiv	nein	0	7	0
75	1	prep_dativ	nein	9	0	0
76	0	ditransitiv	nein	9	3	0
77	1	prep_dativ	nein	9	0	0
78	0	ditransitiv	nein	9	0	0
79	1	prep_dativ	nein	8	0	0
80	1	prep_dativ	nein	9	0	0
81	0	ditransitiv	nein	9	9	0
82	0	ditransitiv	nein	0	0	0
83	1	prep_dativ	ja	7	0	0
84	1	prep_dativ	ja	0	0	0
85	1	prep_dativ	NA	0	0	0
86	1	prep_dativ	nein	0	7	0
87	0	ditransitiv	nein	0	9	0
88	1	prep_dativ	nein	8	0	0
89	1	prep_dativ	nein	8	0	0
90	1	prep_dativ	nein	9	0	0
91	1	prep_dativ	nein	6	6	0
92	1	prep_dativ	nein	0	0	8
93	1	prep_dativ	nein	5	0	0
94	1	prep_dativ	nein	0	9	0
95	1	prep_dativ	nein	9	0	0
96	1	prep_dativ	nein	9	0	0
97	1	prep_dativ	nein	6	9	0
98	1	prep_dativ	nein	9	8	6
99	1	prep_dativ	ja	9	6	0
100	1	prep_dativ	ja	9	9	9
101	0	ditransitiv	ja	8	9	9
102	1	prep_dativ	ja	6	0	0
103	1	prep_dativ	nein	9	9	0
104	0	ditransitiv	nein	0	9	0
105	0	ditransitiv	ja	9	9	0
106	1	prep_dativ	nein	7	0	0
107	0	ditransitiv	nein	7	9	0
108	1	prep_dativ	nein	0	3	0
109	0	ditransitiv	nein	0	7	0
110	1	prep_dativ	nein	9	9	0
111	1	prep_dativ	nein	0	0	0
112	1	prep_dativ	nein	8	0	6
113	1	prep_dativ	nein	9	0	0
114	1	prep_dativ	nein	9	6	9
115	1	prep_dativ	nein	9	0	0
116	1	prep_dativ	nein	5	8	0
117	1	prep_dativ	nein	0	7	0
118	0	ditransitiv	nein	9	9	0
119	0	ditransitiv	nein	0	8	0
120	1	prep_dativ	nein	0	0	9
121	1	prep_dativ	nein	3	0	0
122	0	ditransitiv	ja	8	9	0
123	1	prep_dativ	nein	7	7	0
124	1	prep_dativ	nein	0	0	0
125	1	prep_dativ	nein	2	3	0
126	0	ditransitiv	ja	9	1	0
127	1	prep_dativ	nein	9	0	0
128	1	prep_dativ	nein	9	0	0
129	1	prep_dativ	nein	0	0	0
130	1	prep_dativ	nein	9	0	0
131	1	prep_dativ	nein	8	0	0
132	0	ditransitiv	nein	0	8	9
133	0	ditransitiv	nein	6	9	6
134	1	prep_dativ	nein	9	8	0
135	1	prep_dativ	nein	0	0	0
136	0	ditransitiv	nein	9	9	9
137	1	prep_dativ	nein	0	3	0
138	0	ditransitiv	nein	0	7	0
139	1	prep_dativ	nein	7	0	0
140	1	prep_dativ	nein	9	0	0
141	0	ditransitiv	nein	9	9	0
142	0	ditransitiv	ja	0	0	0
143	0	ditransitiv	nein	0	0	9
144	0	ditransitiv	nein	9	8	0
145	0	ditransitiv	nein	6	3	9
146	0	ditransitiv	nein	0	0	5
147	0	ditransitiv	nein	6	9	4
148	0	ditransitiv	nein	9	9	9
149	1	prep_dativ	nein	9	5	0
150	1	prep_dativ	nein	0	9	0
151	0	ditransitiv	nein	8	3	3
152	1	prep_dativ	nein	9	7	8
153	1	prep_dativ	nein	1	0	0
154	0	ditransitiv	nein	1	8	0
155	1	prep_dativ	nein	9	0	0
156	0	ditransitiv	nein	0	9	0
157	0	ditransitiv	ja	4	9	1
158	1	prep_dativ	nein	0	0	0
159	1	prep_dativ	nein	9	0	0
160	0	ditransitiv	nein	1	9	0
161	0	ditransitiv	ja	9	8	0
162	0	ditransitiv	nein	9	8	0
163	0	ditransitiv	nein	0	7	0
164	0	ditransitiv	nein	1	0	1
165	1	prep_dativ	nein	1	0	0
166	1	prep_dativ	nein	9	0	0
167	0	ditransitiv	nein	1	0	0
168	1	prep_dativ	nein	9	0	9
169	1	prep_dativ	nein	0	0	1
170	1	prep_dativ	nein	9	0	0
171	1	prep_dativ	nein	9	7	0
172	0	ditransitiv	nein	9	8	1
173	0	ditransitiv	nein	0	0	1
174	0	ditransitiv	nein	1	9	0
175	1	prep_dativ	nein	7	0	0
176	1	prep_dativ	nein	6	0	1
177	1	prep_dativ	nein	4	3	1
178	1	prep_dativ	nein	8	0	0
179	0	ditransitiv	nein	8	1	0
180	1	prep_dativ	nein	0	0	1
181	1	prep_dativ	nein	4	0	0
182	1	prep_dativ	nein	1	9	1
183	1	prep_dativ	nein	0	8	0
184	0	ditransitiv	nein	7	9	0
185	1	prep_dativ	nein	9	0	0
186	0	ditransitiv	nein	1	9	0
187	0	ditransitiv	ja	9	0	0
188	0	ditransitiv	ja	9	8	8
189	1	prep_dativ	NA	9	4	0
190	1	prep_dativ	nein	9	8	1
191	1	prep_dativ	nein	9	7	0
192	1	prep_dativ	nein	9	0	9
193	0	ditransitiv	nein	9	8	0
194	1	prep_dativ	nein	1	6	0
195	1	prep_dativ	nein	0	7	0
196	1	prep_dativ	nein	9	0	1
197	0	ditransitiv	nein	9	3	0
198	1	prep_dativ	nein	7	1	0
199	0	ditransitiv	nein	8	9	0
200	1	prep_dativ	nein	9	6	6
201	0	ditransitiv	ja	8	7	1
202	1	prep_dativ	nein	0	0	0
203	0	ditransitiv	nein	1	8	0
204	1	prep_dativ	nein	0	0	0
205	0	ditransitiv	nein	0	0	0
206	1	prep_dativ	nein	8	0	0
207	0	ditransitiv	nein	0	0	0
208	1	prep_dativ	nein	5	0	0
209	0	ditransitiv	nein	7	8	0
210	1	prep_dativ	nein	9	0	1
211	1	prep_dativ	nein	9	0	0
212	0	ditransitiv	nein	9	7	0
213	0	ditransitiv	ja	3	0	0
214	0	ditransitiv	nein	2	8	0
215	0	ditransitiv	ja	0	9	0
216	0	ditransitiv	nein	8	8	0
217	0	ditransitiv	nein	9	7	0
218	1	prep_dativ	nein	8	0	0
219	1	prep_dativ	nein	0	0	0
220	1	prep_dativ	ja	8	0	7
221	1	prep_dativ	nein	9	0	1
222	1	prep_dativ	nein	9	0	0
223	1	prep_dativ	nein	9	8	0
224	1	prep_dativ	nein	9	0	0
225	0	ditransitiv	nein	0	8	0
226	0	ditransitiv	nein	0	7	0
227	1	prep_dativ	nein	9	0	1
228	0	ditransitiv	nein	9	3	0
229	1	prep_dativ	nein	9	1	0
230	0	ditransitiv	nein	8	0	0
231	1	prep_dativ	nein	8	0	1
232	1	prep_dativ	nein	9	0	0
233	0	ditransitiv	nein	9	9	0
234	0	ditransitiv	nein	0	0	0
235	1	prep_dativ	ja	7	0	0
236	1	prep_dativ	ja	0	0	0
237	1	prep_dativ	NA	0	0	0
238	1	prep_dativ	nein	0	7	0
239	0	ditransitiv	nein	0	9	0
240	1	prep_dativ	nein	8	0	0
241	1	prep_dativ	nein	8	0	0
242	1	prep_dativ	nein	9	0	0
243	1	prep_dativ	nein	6	6	0
244	1	prep_dativ	nein	0	0	9
245	1	prep_dativ	nein	5	0	0
246	1	prep_dativ	nein	1	9	0
247	1	prep_dativ	nein	8	0	0
248	1	prep_dativ	nein	9	0	0
249	1	prep_dativ	nein	6	9	0
250	1	prep_dativ	nein	9	8	6
251	1	prep_dativ	ja	9	6	0
252	1	prep_dativ	ja	9	9	9
253	0	ditransitiv	ja	8	9	9
254	1	prep_dativ	ja	6	0	0
255	1	prep_dativ	nein	9	7	0
256	0	ditransitiv	nein	1	8	1
257	0	ditransitiv	ja	9	9	0
258	1	prep_dativ	nein	7	0	0
259	0	ditransitiv	nein	7	9	0
260	1	prep_dativ	nein	0	3	0
261	0	ditransitiv	nein	0	7	0
262	1	prep_dativ	nein	9	9	0
263	1	prep_dativ	nein	1	1	0
264	1	prep_dativ	nein	8	1	6
265	1	prep_dativ	nein	9	0	0
266	1	prep_dativ	nein	9	7	9
267	1	prep_dativ	nein	8	0	0
268	1	prep_dativ	nein	5	8	1
269	1	prep_dativ	nein	0	7	0
270	0	ditransitiv	nein	9	9	0
271	0	ditransitiv	nein	1	8	0
272	1	prep_dativ	nein	0	0	9
273	1	prep_dativ	nein	3	1	0
274	0	ditransitiv	ja	8	8	0
275	1	prep_dativ	nein	7	7	0
276	1	prep_dativ	nein	0	0	0
277	1	prep_dativ	nein	2	3	0
278	0	ditransitiv	ja	9	1	0
279	1	prep_dativ	nein	9	1	0
280	1	prep_dativ	nein	9	0	0
281	1	prep_dativ	nein	0	1	0
282	1	prep_dativ	nein	9	0	0
283	1	prep_dativ	nein	8	1	0
284	0	ditransitiv	nein	0	9	9
285	0	ditransitiv	nein	6	9	7
286	1	prep_dativ	nein	9	9	1
287	1	prep_dativ	nein	0	0	0
288	0	ditransitiv	nein	8	9	8
289	1	prep_dativ	nein	0	3	0
290	0	ditransitiv	nein	0	7	0
291	1	prep_dativ	nein	7	0	0
292	1	prep_dativ	nein	9	1	0
293	0	ditransitiv	nein	9	9	0
294	0	ditransitiv	ja	0	0	0
295	0	ditransitiv	nein	0	0	9
296	0	ditransitiv	nein	8	8	0
297	0	ditransitiv	nein	6	3	9
298	0	ditransitiv	nein	1	0	5
299	0	ditransitiv	nein	6	7	4
300	0	ditransitiv	nein	9	8	9
301	1	prep_dativ	nein	9	5	0
302	1	prep_dativ	nein	0	9	0
303	0	ditransitiv	nein	8	3	3
304	1	prep_dativ	nein	8	7	8
